X,Y,splendida,eachamensis,utcheensis,Malanda,Tully
148.633333,-21.116667,1,0,0,0,0
146.0875,-17.567667,1,0,0,0,0
148.933,-22.267,1,0,0,0,0
150.3413417,-23.47759011,1,0,0,0,0
148.883333,-22.416667,1,0,0,0,0
150.3316199,-23.50814559,1,0,0,0,0
146.6175,-19.64555555,1,0,0,0,0
146.1291667,-19.27694444,1,0,0,0,0
145.583333,-17.166667,1,0,0,0,0
146.4488889,-19.58083333,1,0,0,0,0
145.2969444,-17.24833333,1,0,0,0,0
150.3107867,-23.49009028,1,0,0,0,0
148.5594356,-23.6150996,1,0,0,0,0
146.17,-19.1325,1,0,0,0,0
150.3246754,-23.49009019,1,0,0,0,0
146.2851082,-18.95354301,1,0,0,0,0
146.1927778,-19.31861111,1,0,0,0,0
150.4035628,-23.44675636,1,0,0,0,0
151.1538325,-23.81730585,1,0,0,0,0
149.5110742,-23.26954072,1,0,0,0,0
146.01667,-17.53333,1,0,0,0,0
149,-22.266667,1,0,0,0,0
146.1630556,-19.335,1,0,0,0,0
150.3357864,-23.50259008,1,0,0,0,0
151.1143893,-23.90508369,1,0,0,0,0
146.5055556,-19.45888889,1,0,0,0,0
150.335231,-23.51509005,1,0,0,0,0
146.2827778,-19.62805555,1,0,0,0,0
145.53333,-18.21667,1,0,0,0,0
146.335,-19.48833333,1,0,0,0,0
147.966667,-21.866667,1,0,0,0,0
145.466667,-17.616667,1,0,0,0,0
146.25,-18.433333,1,0,0,0,0
146.05,-17.5,1,0,0,0,0
146.233333,-18.316667,1,0,0,0,0
148.6691667,-21.13166666,1,0,0,0,0
145.33333,-16.25,1,0,0,0,0
145.91667,-19.11667,1,0,0,0,0
148.2411071,-20.1231621,1,0,0,0,0
145.35,-16.25,1,0,0,0,0
148.658409,-21.201697,1,0,0,0,0
150.0566667,-23.03305555,1,0,0,0,0
148.2394471,-20.1326021,1,0,0,0,0
148.6455556,-21.20666666,1,0,0,0,0
149.104149,-21.468765,1,0,0,0,0
148.6594444,-21.215,1,0,0,0,0
145.283,-16.133,1,0,0,0,0
148.25,-20.1,1,0,0,0,0
145.633,-16.816,1,0,0,0,0
148.78333,-20.9,1,0,0,0,0
145.61667,-17.33333,1,0,0,0,0
150,-23.083,1,0,0,0,0
145.983333,-17.65,1,0,0,0,0
145.708,-17.356,1,0,0,0,0
145.183333,-15.583333,1,0,0,0,0
145.76973,-18.41919,1,0,0,0,0
145.95685,-18.7221,1,0,0,0,0
145.6,-17.28333,1,0,0,0,0
145.6,-17.35,1,0,0,0,0
145.93333,-17.25,1,0,0,0,0
147.933,-21.766,1,0,0,0,0
145.766,-17,1,0,0,0,0
146.45,-19.33333,1,0,0,0,0
146,-17.483333,1,0,0,0,0
145.75,-16.916,1,0,0,0,0
146.65,-19.25,1,0,0,0,0
144.683333,-15.75,1,0,0,0,0
150.73446,-23.690649,1,0,0,0,0
145.7,-16.93333,1,0,0,0,0
145.3,-16.06667,1,0,0,0,0
145.333333,-18.233333,1,0,0,0,0
150.857327,-23.792718,1,0,0,0,0
144.96667,-14.81667,1,0,0,0,0
149.55,-22.65,1,0,0,0,0
145.93333,-18.1,1,0,0,0,0
150.615,-22.57999,1,0,0,0,0
148.526389,-20.412778,1,0,0,0,0
146.25,-18.366,1,0,0,0,0
145.6,-16.8,1,0,0,0,0
145.95,-18.1,1,0,0,0,0
146.55,-19.15,1,0,0,0,0
150.59749,-22.80533,1,0,0,0,0
150.56366,-22.80166,1,0,0,0,0
150.46882,-22.66033,1,0,0,0,0
145.91667,-17.26667,1,0,0,0,0
145.5802778,-17.39416666,1,0,0,0,0
143.9,-14.85,1,0,0,0,0
145.45,-16.56667,1,0,0,0,0
144.08333,-14.83333,1,0,0,0,0
145.283333,-16,1,0,0,0,0
145.1,-15.15,1,0,0,0,0
144.88333,-15.83333,1,0,0,0,0
144.9,-15.83333,1,0,0,0,0
144.86667,-14.73333,1,0,0,0,0
145.68333,-16.86667,1,0,0,0,0
145.61667,-17.35,1,0,0,0,0
148.133333,-22.05,1,0,0,0,0
144.35,-15.06667,1,0,0,0,0
145.48333,-17.6,1,0,0,0,0
145.01667,-15.75,1,0,0,0,0
145.433,-17,1,0,0,0,0
145.08333,-15.15,1,0,0,0,0
150.5165,-22.83649,1,0,0,0,0
146.11667,-18.43333,1,0,0,0,0
144.45,-15.56667,1,0,0,0,0
144.33333,-15.53333,1,0,0,0,0
143.81667,-14.53333,1,0,0,0,0
145.31667,-16.25,1,0,0,0,0
145.11667,-15.18333,1,0,0,0,0
144.21667,-14.93333,1,0,0,0,0
146.03333,-17.71667,1,0,0,0,0
143.88333,-15.18333,1,0,0,0,0
145.5877035,-17.02579341,1,0,0,0,0
145.58333,-17.38333,1,0,0,0,0
145.366,-16.45,1,0,0,0,0
150.61416,-22.80533,1,0,0,0,0
